Alpha,Cl,Cd,Cm
-180.0,0.0,0.0602,0.0
-175.0,0.2182,0.0699,0.0934
-170.0,0.3965,0.1107,0.1697
-160.0,0.6421,0.3045,0.2813
-155.0,0.7145,0.4179,0.3208
-150.0,0.7567,0.5355,0.3516
-145.0,0.7717,0.6535,0.3752
-140.0,0.7621,0.7685,0.3926
-135.0,0.7307,0.8777,0.4048
-130.0,0.6802,0.9788,0.4126
-125.0,0.6131,1.07,0.4166
-120.0,0.532,1.1499,0.4176
-115.0,0.4393,1.2174,0.4158
-110.0,0.3373,1.2716,0.4117
-105.0,0.2283,1.3118,0.4057
-100.0,0.1143,1.3378,0.3979
-95.0,-0.0024,1.3492,0.3887
-90.0,-0.1198,1.346,0.3781
-85.0,-0.236,1.3283,0.3663
-80.0,-0.3488,1.2964,0.3534
-75.0,-0.4564,1.2507,0.3394
-70.0,-0.5565,1.1918,0.3244
-65.0,-0.6473,1.1204,0.3084
-60.0,-0.7266,1.0376,0.2914
-55.0,-0.7923,0.9446,0.2733
-50.0,-0.8421,0.8429,0.2543
-45.0,-0.8739,0.7345,0.2342
-40.0,-0.8855,0.6215,0.2129
-35.0,-0.8745,0.5067,0.1906
-30.0,-0.8389,0.3932,0.167
-25.0,-0.7765,0.2849,0.1422
-24.0,-0.7606,0.2642,0.1371
-23.0,-0.7435,0.244,0.132
-22.0,-0.7253,0.2242,0.1268
-21.0,-0.7059,0.2049,0.1215
-20.0,-0.6852,0.1861,0.1162
-19.0,-0.662,0.1687,0.1097
-18.0,-0.6351,0.1533,0.1012
-17.0,-0.6047,0.1398,0.0907
-16.0,-0.5709,0.1281,0.0784
-15.0,-0.5341,0.1183,0.0646
-14.0,-0.4944,0.1101,0.0494
-13.0,-0.452,0.1036,0.033
-12.0,-0.4073,0.0986,0.0156
-11.0,-0.3602,0.0951,-0.0026
-10.0,-0.3112,0.0931,-0.0213
-8.0,-0.208,0.093,-0.06
-6.0,-0.111,0.0689,-0.05
-5.5,-0.09,0.0614,-0.0516
-5.0,-0.072,0.0547,-0.0532
-4.5,-0.065,0.048,-0.0538
-4.0,-0.054,0.0411,-0.0544
-3.5,-0.017,0.0349,-0.0554
-3.0,0.003,0.0299,-0.0558
-2.5,0.014,0.0255,-0.0555
-2.0,0.009,0.0198,-0.0534
-1.5,0.004,0.01638,-0.0442
-1.0,0.036,0.01465,-0.0469
-0.5,0.073,0.01369,-0.0522
0.0,0.121,0.01316,-0.0573
0.5,0.203,0.01256,-0.0644
1.0,0.289,0.01211,-0.0718
1.5,0.373,0.01185,-0.0783
2.0,0.451,0.01175,-0.0835
2.5,0.521,0.01183,-0.0866
3.0,0.585,0.01194,-0.0887
3.5,0.646,0.01198,-0.09
4.0,0.706,0.01214,-0.0914
4.5,0.769,0.01245,-0.0933
5.0,0.829,0.01288,-0.0947
5.5,0.886,0.01334,-0.0957
6.0,0.943,0.01384,-0.0967
6.5,0.996,0.01456,-0.0973
7.0,1.041,0.01564,-0.0972
7.5,1.086,0.01681,-0.0972
8.0,1.125,0.0184,-0.0968
8.5,1.155,0.02063,-0.0958
9.0,1.179,0.02345,-0.0948
9.5,1.204,0.02636,-0.0942
10.0,1.21,0.03061,-0.0926
10.5,1.21,0.03531,-0.0908
11.0,1.197,0.04139,-0.089
11.5,1.182,0.04731,-0.0877
12.0,1.166,0.05394,-0.087
12.5,1.145,0.0628,-0.087
13.0,1.122,0.07064,-0.0876
13.5,1.108,0.07864,-0.0886
14.5,1.08,0.0968,-0.0917
15.0,1.07,0.10655,-0.0939
15.5,1.056,0.11768,-0.0966
16.0,1.047,0.12791,-0.0996
16.5,1.035,0.13936,-0.1031
17.0,1.024,0.1507,-0.1069
17.5,1.019,0.16193,-0.111
18.0,1.017,0.17371,-0.1157
19.0,1.007,0.1951,-0.1242
19.5,1.003,0.2068,-0.1291
20.5,1.0,0.2272,-0.1384
21.0,0.993,0.2354,-0.1416
22.0,0.9782,0.2522,-0.1479
23.0,0.9629,0.2696,-0.1542
24.0,0.9476,0.2875,-0.1603
25.0,0.9328,0.3061,-0.1664
26.0,0.919,0.3252,-0.1724
28.0,0.8964,0.3652,-0.1841
30.0,0.8838,0.4077,-0.1954
32.0,0.8854,0.4527,-0.2063
35.0,0.9034,0.5233,-0.222
40.0,0.9144,0.6417,-0.2468
45.0,0.9023,0.7582,-0.2701
50.0,0.8692,0.87,-0.2921
55.0,0.8176,0.9747,-0.3127
60.0,0.7497,1.0704,-0.3321
65.0,0.6678,1.1557,-0.3502
70.0,0.574,1.2292,-0.3672
75.0,0.4706,1.2898,-0.383
80.0,0.3597,1.3368,-0.3977
85.0,0.2433,1.3697,-0.4112
90.0,0.1236,1.3879,-0.4234
95.0,0.0024,1.3912,-0.4343
100.0,-0.1179,1.3795,-0.4437
105.0,-0.2354,1.3528,-0.4514
110.0,-0.3479,1.3114,-0.4573
115.0,-0.4532,1.2557,-0.461
120.0,-0.5489,1.1864,-0.4623
125.0,-0.6327,1.1041,-0.4606
130.0,-0.7021,1.0102,-0.4554
135.0,-0.7544,0.906,-0.4462
140.0,-0.7871,0.7935,-0.4323
145.0,-0.7972,0.675,-0.4127
150.0,-0.7819,0.5532,-0.3863
155.0,-0.7385,0.4318,-0.3521
160.0,-0.6639,0.3147,-0.3085
170.0,-0.4102,0.1144,-0.1858
175.0,-0.2258,0.0702,-0.1022
180.0,0.0,0.0602,0.0
