Alpha,Cl,Cd,Cm
-180.0,0.0,0.02464,0.0
-177.71,0.05403,0.02534,0.09143
-175.43,0.10805,0.02742,0.18286
-173.14,0.16208,0.03088,0.27429
-170.86,0.2161,0.0357,0.36571
-168.57,0.27013,0.05599,0.39192
-166.29,0.32415,0.08143,0.37898
-164.0,0.37818,0.11112,0.36605
-161.71,0.4322,0.14485,0.35312
-159.43,0.48623,0.18242,0.34768
-157.14,0.54025,0.22359,0.36471
-154.86,0.59428,0.2681,0.38175
-152.57,0.6483,0.31566,0.39878
-150.29,0.70233,0.36597,0.41581
-148.0,0.75635,0.41871,0.41955
-143.86,0.73188,0.51941,0.42287
-139.71,0.70655,0.62488,0.42632
-135.57,0.6776,0.73293,0.43163
-131.43,0.64333,0.8413,0.43694
-127.29,0.60277,0.94773,0.44389
-123.14,0.5555,1.05001,0.45171
-119.0,0.50156,1.146,0.45897
-114.86,0.44131,1.23371,0.46448
-110.71,0.37542,1.31129,0.46998
-106.57,0.30482,1.37714,0.47096
-102.43,0.23063,1.42988,0.47101
-98.29,0.15413,1.46842,0.46824
-94.14,0.07675,1.49196,0.46149
-90.0,0.0,1.5,0.45474
-85.86,-0.07675,1.49196,0.44026
-81.71,-0.15413,1.46842,0.42578
-77.57,-0.23063,1.42988,0.40821
-73.43,-0.30482,1.37714,0.38846
-69.29,-0.37542,1.31129,0.36815
-65.14,-0.44131,1.23371,0.34519
-61.0,-0.50156,1.146,0.32223
-56.86,-0.5555,1.05001,0.29864
-52.71,-0.60277,0.94773,0.27486
-48.57,-0.64333,0.8413,0.25128
-44.43,-0.6776,0.73293,0.2281
-40.29,-0.70655,0.62488,0.20491
-36.14,-0.73188,0.51941,0.15416
-32.0,-0.75635,0.41871,0.10137
-28.0,-0.85636,0.28691,0.06527
-24.0,-1.18292,0.1396,0.01647
-20.0,-1.23596,0.08345,-0.00352
-18.0,-1.22536,0.06509,-0.00672
-16.0,-1.20476,0.04888,-0.00881
-14.0,-1.18332,0.03417,-0.01101
-12.0,-1.10093,0.02132,-0.02269
-10.0,-0.88209,0.01386,-0.04397
-8.0,-0.62981,0.01075,-0.05756
-6.0,-0.3767,0.00882,-0.06747
-4.0,-0.12177,0.00702,-0.0768
-2.0,0.1281,0.00663,-0.08283
-1.0,0.25192,0.00664,-0.08534
0.0,0.37535,0.0067,-0.08777
1.0,0.49828,0.00681,-0.09011
2.0,0.62052,0.00698,-0.09234
3.0,0.742,0.0072,-0.09447
4.0,0.86238,0.00751,-0.09646
5.0,0.98114,0.00796,-0.09828
6.0,1.09662,0.00872,-0.09977
7.0,1.20904,0.00968,-0.10095
8.0,1.3168,0.01097,-0.10163
9.0,1.42209,0.01227,-0.10207
10.0,1.52361,0.01369,-0.10213
11.0,1.61988,0.01529,-0.10174
12.0,1.70937,0.01717,-0.10087
13.0,1.78681,0.01974,-0.09936
14.0,1.8429,0.02368,-0.0972
15.0,1.85313,0.03094,-0.0941
16.0,1.80951,0.04303,-0.09144
18.0,1.66033,0.0773,-0.09242
20.0,1.56152,0.11202,-0.09871
24.0,1.43327,0.18408,-0.1177
28.0,1.29062,0.27589,-0.14566
32.0,1.0805,0.41871,-0.18266
36.14,1.04554,0.51941,-0.20913
40.29,1.00936,0.62488,-0.23534
44.43,0.96801,0.73293,-0.25784
48.57,0.91904,0.8413,-0.28035
52.71,0.86109,0.94773,-0.30163
56.86,0.79357,1.05001,-0.32226
61.0,0.71651,1.146,-0.34247
65.14,0.63044,1.23371,-0.36135
69.29,0.53632,1.31129,-0.38024
73.43,0.43546,1.37714,-0.39704
77.57,0.32947,1.42988,-0.41341
81.71,0.22019,1.46842,-0.42844
85.86,0.10965,1.49196,-0.44159
90.0,0.0,1.5,-0.45474
94.14,-0.07675,1.49196,-0.46149
98.29,-0.15413,1.46842,-0.46824
102.43,-0.23063,1.42988,-0.47101
106.57,-0.30482,1.37714,-0.47096
110.71,-0.37542,1.31129,-0.46998
114.86,-0.44131,1.23371,-0.46448
119.0,-0.50156,1.146,-0.45897
123.14,-0.5555,1.05001,-0.45171
127.29,-0.60277,0.94773,-0.44389
131.43,-0.64333,0.8413,-0.43694
135.57,-0.6776,0.73293,-0.43163
139.71,-0.70655,0.62488,-0.42632
143.86,-0.73188,0.51941,-0.42287
148.0,-0.75635,0.41871,-0.41955
150.29,-0.70233,0.36597,-0.41581
152.57,-0.6483,0.31566,-0.39878
154.86,-0.59428,0.2681,-0.38175
157.14,-0.54025,0.22359,-0.36471
159.43,-0.48623,0.18242,-0.34768
161.71,-0.4322,0.14485,-0.37026
164.0,-0.37818,0.11112,-0.40605
166.29,-0.32415,0.08143,-0.44184
168.57,-0.27013,0.05599,-0.47763
170.86,-0.2161,0.0357,-0.45714
173.14,-0.16208,0.03088,-0.34286
175.43,-0.10805,0.02742,-0.22857
177.71,-0.05403,0.02534,-0.11429
180.0,0.0,0.02464,0.0
