Alpha,Cl,Cd,Cm
-180.0,0.0,0.0316,0.0
-177.71,0.0696,0.0322,0.0914
-175.43,0.1392,0.034,0.1828
-173.14,0.2088,0.037,0.2742
-170.86,0.2784,0.0411,0.3657
-168.57,0.348,0.0463,0.403
-166.29,0.4176,0.0573,0.408
-164.0,0.4872,0.0831,0.4129
-161.71,0.5568,0.1125,0.4178
-159.43,0.6264,0.1453,0.4258
-157.14,0.696,0.1812,0.443
-154.86,0.7656,0.22,0.4601
-152.57,0.8352,0.2614,0.4773
-150.29,0.9048,0.3053,0.4944
-148.0,0.9744,0.3513,0.4874
-143.86,0.8941,0.4391,0.4683
-139.71,0.8238,0.5311,0.4499
-135.57,0.7584,0.6254,0.4398
-131.43,0.6947,0.7201,0.4297
-127.29,0.6307,0.8131,0.4258
-123.14,0.5653,0.9025,0.4253
-119.0,0.4978,0.9865,0.4252
-114.86,0.4282,1.0634,0.4267
-110.71,0.3568,1.1316,0.4281
-106.57,0.2841,1.1896,0.4274
-102.43,0.211,1.2362,0.4262
-98.29,0.1385,1.2706,0.423
-94.14,0.0677,1.292,0.4168
-90.0,0.0,1.3,0.4106
-85.86,-0.0677,1.292,0.3975
-81.71,-0.1385,1.2706,0.3844
-77.57,-0.211,1.2362,0.369
-73.43,-0.2841,1.1896,0.3521
-69.29,-0.3568,1.1316,0.3349
-65.14,-0.4282,1.0634,0.3163
-61.0,-0.4978,0.9865,0.2977
-56.86,-0.5653,0.9025,0.2794
-52.71,-0.6307,0.8131,0.2612
-48.57,-0.6947,0.7201,0.2432
-44.43,-0.7584,0.6254,0.2255
-40.29,-0.8238,0.5311,0.2078
-36.14,-0.8941,0.4391,0.1373
-32.0,-0.9744,0.3513,0.0628
-28.0,-1.163,0.2064,0.039
-24.0,-1.1489,0.15,0.0185
-20.0,-1.0945,0.106,0.0044
-18.0,-1.058,0.0873,-0.0006
-16.0,-1.0228,0.0705,-0.0034
-14.0,-0.9981,0.0547,-0.004
-12.0,-0.9851,0.0405,-0.0027
-10.0,-0.8958,0.0292,-0.0119
-8.0,-0.6753,0.022,-0.0345
-6.0,-0.4324,0.0173,-0.0546
-4.0,-0.1588,0.0147,-0.0742
-2.0,0.1345,0.0136,-0.0927
-1.0,0.2801,0.0133,-0.1007
0.0,0.4238,0.0133,-0.108
1.0,0.5651,0.0133,-0.1145
2.0,0.7041,0.0134,-0.1202
3.0,0.8407,0.0136,-0.1254
4.0,0.975,0.0139,-0.1301
5.0,1.1068,0.0143,-0.1342
6.0,1.236,0.0148,-0.1379
7.0,1.3622,0.0154,-0.141
8.0,1.4842,0.0162,-0.1436
9.0,1.6009,0.0171,-0.1454
10.0,1.7101,0.0184,-0.1463
11.0,1.8095,0.0201,-0.1463
12.0,1.8947,0.0225,-0.1454
13.0,1.9569,0.0267,-0.1437
14.0,1.9857,0.0338,-0.1418
15.0,1.9926,0.0433,-0.14
16.0,1.9961,0.0535,-0.1382
18.0,1.9639,0.077,-0.1335
20.0,1.8117,0.1116,-0.1313
24.0,1.5607,0.191,-0.1466
28.0,1.4679,0.2719,-0.1724
32.0,1.392,0.3513,-0.1941
36.14,1.2773,0.4391,-0.2179
40.29,1.1768,0.5311,-0.2411
44.43,1.0835,0.6254,-0.2573
48.57,0.9925,0.7201,-0.2735
52.71,0.9011,0.8131,-0.2886
56.86,0.8076,0.9025,-0.3031
61.0,0.7111,0.9865,-0.3175
65.14,0.6117,1.0634,-0.3319
69.29,0.5097,1.1316,-0.3463
73.43,0.4058,1.1896,-0.3601
77.57,0.3014,1.2362,-0.3738
81.71,0.1978,1.2706,-0.3868
85.86,0.0967,1.292,-0.3987
90.0,0.0,1.3,-0.4106
94.14,-0.0677,1.292,-0.4168
98.29,-0.1385,1.2706,-0.423
102.43,-0.211,1.2362,-0.4262
106.57,-0.2841,1.1896,-0.4274
110.71,-0.3568,1.1316,-0.4281
114.86,-0.4282,1.0634,-0.4267
119.0,-0.4978,0.9865,-0.4252
123.14,-0.5653,0.9025,-0.4253
127.29,-0.6307,0.8131,-0.4258
131.43,-0.6947,0.7201,-0.4297
135.57,-0.7584,0.6254,-0.4398
139.71,-0.8238,0.5311,-0.4499
143.86,-0.8941,0.4391,-0.4683
148.0,-0.9744,0.3513,-0.4874
150.29,-0.9048,0.3053,-0.4944
152.57,-0.8352,0.2614,-0.4773
154.86,-0.7656,0.22,-0.4601
157.14,-0.696,0.1812,-0.443
159.43,-0.6264,0.1453,-0.4258
161.71,-0.5568,0.1125,-0.435
164.0,-0.4872,0.0831,-0.4529
166.29,-0.4176,0.0573,-0.4708
168.57,-0.348,0.0463,-0.4888
170.86,-0.2784,0.0411,-0.4571
173.14,-0.2088,0.037,-0.3428
175.43,-0.1392,0.034,-0.2285
177.71,-0.0696,0.0322,-0.1142
180.0,0.0,0.0316,0.0
