Alpha,Cl,Cd,Cm
-180.0,0.0,0.155,0.0
-175.0,0.22,0.173,0.2
-170.0,0.44,0.191,0.4
-165.0,0.547,0.244,0.358
-160.0,0.653,0.296,0.317
-155.0,0.627,0.376,0.3
-150.0,0.602,0.456,0.284
-145.0,0.587,0.554,0.289
-140.0,0.573,0.651,0.294
-135.0,0.547,0.754,0.305
-130.0,0.521,0.856,0.315
-125.0,0.476,0.951,0.326
-120.0,0.432,1.045,0.337
-115.0,0.37,1.118,0.343
-110.0,0.308,1.192,0.35
-105.0,0.233,1.235,0.351
-100.0,0.159,1.278,0.352
-95.0,0.079,1.284,0.345
-90.0,0.0,1.29,0.339
-85.0,-0.079,1.284,0.331
-80.0,-0.159,1.278,0.324
-75.0,-0.233,1.235,0.309
-70.0,-0.308,1.192,0.295
-65.0,-0.37,1.118,0.276
-60.0,-0.432,1.045,0.256
-55.0,-0.476,0.951,0.234
-50.0,-0.521,0.856,0.212
-45.0,-0.547,0.754,0.19
-40.0,-0.573,0.651,0.167
-38.0,-0.579,0.612,0.158
-36.0,-0.585,0.573,0.15
-34.0,-0.59,0.534,0.141
-32.0,-0.596,0.495,0.132
-30.0,-0.602,0.456,0.123
-28.0,-0.612,0.424,0.113
-26.0,-0.622,0.392,0.103
-24.0,-0.633,0.36,0.093
-22.0,-0.643,0.328,0.083
-20.0,-0.653,0.296,0.073
-19.0,-0.627,0.284,0.063
-18.0,-0.6,0.271,0.054
-17.0,-0.573,0.258,0.044
-16.0,-0.547,0.246,0.034
-15.0,-0.52,0.233,0.024
-14.0,-0.494,0.22,0.014
-13.5,-0.481,0.214,0.009
-13.0,-0.467,0.208,0.004
-12.5,-0.454,0.201,-0.001
-12.0,-0.441,0.195,-0.006
-11.5,-0.427,0.189,-0.011
-11.0,-0.414,0.183,-0.016
-10.5,-0.401,0.176,-0.021
-10.0,-0.388,0.17,-0.026
-9.5,-0.361,0.164,-0.025
-9.0,-0.335,0.157,-0.024
-8.5,-0.309,0.151,-0.023
-8.0,-0.282,0.144,-0.022
-7.5,-0.256,0.138,-0.022
-7.0,-0.23,0.132,-0.021
-6.5,-0.204,0.125,-0.02
-6.0,-0.177,0.119,-0.019
-5.5,-0.151,0.112,-0.019
-5.0,-0.125,0.106,-0.018
-4.5,-0.098,0.1,-0.017
-4.0,-0.072,0.093,-0.016
-3.5,-0.046,0.087,-0.016
-3.0,-0.007,0.083,-0.016
-2.5,0.05,0.084,-0.018
-2.0,0.107,0.084,-0.02
-1.5,0.164,0.085,-0.022
-1.0,0.221,0.085,-0.024
-0.5,0.279,0.086,-0.026
0.0,0.336,0.086,-0.028
0.5,0.393,0.087,-0.03
1.0,0.45,0.087,-0.032
1.5,0.507,0.088,-0.034
2.0,0.57,0.088,-0.037
2.5,0.637,0.088,-0.039
3.0,0.703,0.087,-0.041
3.5,0.77,0.087,-0.044
4.0,0.837,0.087,-0.046
4.5,0.903,0.087,-0.048
5.0,0.97,0.087,-0.051
5.5,1.037,0.087,-0.053
6.0,1.098,0.086,-0.056
6.5,1.157,0.086,-0.058
7.0,1.217,0.086,-0.061
7.5,1.277,0.086,-0.064
8.0,1.336,0.086,-0.067
8.5,1.396,0.086,-0.069
9.0,1.444,0.086,-0.073
9.5,1.485,0.088,-0.076
10.0,1.526,0.089,-0.08
10.5,1.24,0.105,-0.083
11.0,1.073,0.126,-0.044
11.5,1.045,0.141,-0.037
12.0,1.028,0.155,-0.039
12.5,1.017,0.169,-0.041
13.0,1.01,0.183,-0.042
13.5,1.008,0.195,-0.044
14.0,1.007,0.206,-0.046
15.0,1.008,0.227,-0.049
16.0,1.012,0.246,-0.053
17.0,0.994,0.259,-0.063
18.0,0.974,0.271,-0.073
19.0,0.953,0.284,-0.084
20.0,0.933,0.296,-0.094
22.0,0.918,0.328,-0.106
24.0,0.904,0.36,-0.119
26.0,0.889,0.392,-0.131
28.0,0.874,0.424,-0.143
30.0,0.86,0.456,-0.155
32.0,0.852,0.495,-0.164
34.0,0.843,0.534,-0.173
36.0,0.835,0.573,-0.182
38.0,0.827,0.612,-0.191
40.0,0.819,0.651,-0.201
45.0,0.781,0.754,-0.221
50.0,0.744,0.856,-0.241
55.0,0.68,0.951,-0.258
60.0,0.617,1.045,-0.276
65.0,0.528,1.118,-0.291
70.0,0.44,1.192,-0.305
75.0,0.333,1.235,-0.316
80.0,0.227,1.278,-0.327
85.0,0.113,1.284,-0.333
90.0,0.0,1.29,-0.339
95.0,-0.079,1.284,-0.345
100.0,-0.159,1.278,-0.352
105.0,-0.233,1.235,-0.351
110.0,-0.308,1.192,-0.35
115.0,-0.37,1.118,-0.343
120.0,-0.432,1.045,-0.337
125.0,-0.476,0.951,-0.326
130.0,-0.521,0.856,-0.315
135.0,-0.547,0.754,-0.305
140.0,-0.573,0.651,-0.294
145.0,-0.587,0.554,-0.289
150.0,-0.602,0.456,-0.284
155.0,-0.627,0.376,-0.3
160.0,-0.653,0.296,-0.317
165.0,-0.547,0.244,-0.408
170.0,-0.44,0.191,-0.5
175.0,-0.22,0.173,-0.25
180.0,0.0,0.155,0.0
