Alpha,Cl,Cd,Cm
-180.0,0.0,0.0198,0.0
-175.0,0.3744,0.0341,0.188
-170.0,0.7488,0.0955,0.377
-160.0,0.6585,0.2807,0.2747
-155.0,0.7358,0.3919,0.313
-150.0,0.7831,0.5086,0.3428
-145.0,0.8028,0.6267,0.3654
-140.0,0.7977,0.7427,0.382
-135.0,0.7705,0.8537,0.3935
-130.0,0.7236,0.9574,0.4007
-125.0,0.6598,1.0519,0.4042
-120.0,0.5814,1.1355,0.4047
-115.0,0.4908,1.207,0.4025
-110.0,0.3903,1.2656,0.3981
-105.0,0.2822,1.3104,0.3918
-100.0,0.1687,1.341,0.3838
-95.0,0.0517,1.3572,0.3743
-90.0,-0.0665,1.3587,0.3636
-85.0,-0.1841,1.3456,0.3517
-80.0,-0.2989,1.3181,0.3388
-75.0,-0.4089,1.2765,0.3248
-70.0,-0.5121,1.2212,0.3099
-65.0,-0.6063,1.1532,0.294
-60.0,-0.6894,1.0731,0.2772
-55.0,-0.7593,0.9822,0.2595
-50.0,-0.8135,0.882,0.2409
-45.0,-0.85,0.7742,0.2212
-40.0,-0.8662,0.661,0.2006
-35.0,-0.8599,0.5451,0.1789
-30.0,-0.8287,0.4295,0.1563
-25.0,-0.8525,0.3071,0.1156
-24.0,-0.8696,0.2814,0.104
-23.0,-0.8895,0.2556,0.0916
-22.0,-0.9112,0.2297,0.0785
-21.0,-0.9343,0.204,0.0649
-20.0,-0.9581,0.1785,0.0508
-19.0,-0.9819,0.1534,0.0364
-18.0,-1.005,0.12876,0.02184
-17.0,-1.082,0.10365,0.0129
-16.0,-1.113,0.07855,-0.00279
-15.0,-1.105,0.05345,-0.02513
-14.0,-1.078,0.02834,-0.0419
-13.5,-1.053,0.01579,-0.05207
-13.0,-1.015,0.01511,-0.061
-12.0,-0.904,0.01337,-0.07073
-11.0,-0.807,0.01212,-0.07218
-10.0,-0.711,0.01106,-0.07339
-9.0,-0.595,0.00992,-0.07723
-8.0,-0.478,0.00905,-0.0807
-7.0,-0.375,0.00857,-0.0825
-6.0,-0.264,0.00823,-0.08324
-5.0,-0.151,0.00788,-0.08413
-4.0,-0.017,0.00722,-0.08691
-3.0,0.088,0.0064,-0.09117
-2.0,0.213,0.00542,-0.09461
-1.0,0.328,0.00519,-0.09711
0.0,0.442,0.00524,-0.1014
1.0,0.556,0.00524,-0.1076
2.0,0.67,0.00526,-0.1126
3.0,0.784,0.00531,-0.1157
4.0,0.898,0.00535,-0.1199
5.0,1.011,0.00581,-0.124
6.0,1.104,0.00905,-0.1234
7.0,1.185,0.01127,-0.1184
8.0,1.263,0.01255,-0.1163
8.5,1.3,0.01317,-0.1163
9.0,1.335,0.01389,-0.116
9.5,1.366,0.01474,-0.1154
10.0,1.394,0.01568,-0.1149
10.5,1.415,0.0276,-0.1145
11.0,1.432,0.03953,-0.1143
11.5,1.445,0.05145,-0.1147
12.0,1.457,0.06337,-0.1158
12.5,1.469,0.0753,-0.1165
13.0,1.48,0.08722,-0.1153
13.5,1.485,0.09914,-0.1131
14.0,1.484,0.11106,-0.1112
14.5,1.484,0.12299,-0.1101
15.0,1.488,0.13491,-0.1103
15.5,1.493,0.14683,-0.1109
16.0,1.497,0.15876,-0.1114
16.5,1.496,0.17068,-0.1111
17.0,1.493,0.1826,-0.1097
17.5,1.496,0.19453,-0.1079
18.0,1.507,0.20645,-0.108
18.5,1.514,0.21837,-0.109
19.0,1.512,0.23029,-0.1086
19.5,1.505,0.24222,-0.1077
20.0,1.498,0.25414,-0.1099
21.0,1.476,0.27799,-0.1169
22.0,1.44,0.30183,-0.119
23.0,1.387,0.32568,-0.1235
24.0,1.314,0.34952,-0.1393
25.0,1.267,0.3703,-0.144
26.0,1.2196,0.3915,-0.1486
28.0,1.1272,0.4349,-0.1577
30.0,1.0439,0.4798,-0.1668
32.0,0.9769,0.5261,-0.1759
35.0,0.9227,0.5983,-0.1897
40.0,0.9222,0.7225,-0.2126
45.0,0.9026,0.8435,-0.2344
50.0,0.8615,0.9583,-0.2553
55.0,0.8014,1.0646,-0.2751
60.0,0.7248,1.1607,-0.2939
65.0,0.6343,1.2449,-0.3117
70.0,0.5321,1.3162,-0.3285
75.0,0.4206,1.3736,-0.3444
80.0,0.302,1.4164,-0.3593
85.0,0.1786,1.4442,-0.3731
90.0,0.0525,1.4565,-0.3858
95.0,-0.0742,1.4533,-0.3973
100.0,-0.1994,1.4345,-0.4075
105.0,-0.3207,1.4004,-0.4162
110.0,-0.436,1.3512,-0.4231
115.0,-0.5431,1.2874,-0.428
120.0,-0.6395,1.2099,-0.4306
125.0,-0.7228,1.1196,-0.4304
130.0,-0.7904,1.0179,-0.427
135.0,-0.8397,0.9064,-0.4196
140.0,-0.868,0.7871,-0.4077
145.0,-0.8724,0.6627,-0.3903
150.0,-0.85,0.5363,-0.3665
155.0,-0.7981,0.4116,-0.3349
160.0,-0.7138,0.2931,-0.2942
170.0,-0.7488,0.0971,-0.3771
175.0,-0.3744,0.0334,-0.1879
180.0,0.0,0.0198,0.0
