Alpha,Cl,Cd,cm
-180.0,0.0,0.0097,0.0
-178.998,0.0133,0.0101,0.037004581901489295
-177.995,0.0267,0.0107,0.07400916380297859
-176.992,0.04,0.0107,0.11101374570446694
-175.99,0.0534,0.0106,0.14801832760595623
-174.998,0.06654800000000001,0.011786285714285716,0.1846
-174.987,0.0667,0.0118,0.1850266055045871
-173.984,0.0801,0.0126,0.22235458715596332
-172.982,0.0934,0.013,0.25968256880733953
-171.979,0.1068,0.013,0.29701055045871577
-170.976,0.1201,0.013,0.33433853211009107
-170.002,0.13311714285714307,0.013,0.3706
-169.974,0.1335,0.013,0.3704164375715923
-168.971,0.1468,0.013,0.36399175257731964
-167.968,0.1601,0.013,0.357567067583047
-166.966,0.1735,0.013,0.35114238258877434
-165.963,0.1868,0.013,0.34471769759450166
-164.96,0.2002,0.013,0.3382930126002292
-163.958,0.2135,0.013,0.3318683276059565
-162.955,0.2269,0.013,0.3254436426116839
-161.952,0.2402,0.013,0.3190189576174112
-160.95,0.2536,0.013,0.31259427262313855
-159.998,0.26621599999999995,0.013,0.3065
-159.947,0.2669,0.013,0.3069458715596331
-158.944,0.2803,0.013,0.3156155963302753
-157.942,0.2936,0.013,0.3242853211009173
-156.933,0.3069,0.013,0.3330045871559633
-155.93,0.3203,0.013,0.3416743119266055
-155.002,0.33261200000000024,0.013,0.3497
-154.928,0.3336,0.013,0.3502048109965634
-153.925,0.347,0.013,0.3570003436426116
-152.922,0.3603,0.013,0.3637958762886597
-151.92,0.3737,0.013,0.3705914089347079
-150.917,0.387,0.013,0.37738694158075603
-150.0,0.39925142857142853,0.013,0.3836
-149.914,0.4004,0.013,0.3840450171821306
-148.912,0.4137,0.013,0.38923688430698733
-147.909,0.4271,0.013,0.39442875143184414
-146.906,0.4272,0.4648,0.399620618556701
-145.904,0.4259,0.4812,0.4048124856815578
-144.998,0.4245457142857143,0.49618742857142856,0.4095
-144.901,0.4244,0.4978,0.4098762614678899
-143.898,0.4228,0.5146,0.41374954128440367
-142.896,0.4211,0.5316,0.41762282110091736
-141.893,0.4193,0.5487,0.4214961009174311
-140.89,0.4172,0.566,0.4253693807339449
-140.002,0.41525142857142855,0.5813228571428574,0.4288
-139.888,0.415,0.5833,0.42911386025200454
-138.885,0.4126,0.6008,0.43186013745704466
-137.882,0.4099,0.6183,0.4346064146620848
-136.88,0.407,0.6358,0.4373526918671249
-135.877,0.4038,0.6533,0.4400989690721649
-135.0,0.4008274285714285,0.6686000000000002,0.4425
-134.874,0.4004,0.6708,0.4427242840778923
-133.872,0.3967,0.6883,0.44450836197021765
-132.869,0.3927,0.7058,0.44629243986254297
-131.866,0.3885,0.7231,0.4480765177548683
-130.864,0.384,0.7403,0.4498605956471936
-129.998,0.37985828571428565,0.7550548571428574,0.4514
-129.861,0.3792,0.7574,0.4515348623853211
-128.858,0.3741,0.7744,0.45251823394495416
-127.856,0.3687,0.7911,0.4535016055045872
-126.853,0.363,0.8077,0.4544849770642202
-125.85,0.357,0.8241,0.4554683486238532
-125.002,0.35175657142857153,0.8377159999999997,0.4563
-124.848,0.3508,0.8402,0.45634329896907216
-123.845,0.3442,0.856,0.45662394043528065
-122.842,0.3374,0.8716,0.4569045819014891
-121.839,0.3302,0.8868,0.45718522336769757
-120.837,0.3228,0.9018,0.45746586483390606
-120.0,0.31637599999999994,0.913897142857143,0.4577
-119.834,0.3151,0.9163,0.45765349369988545
-118.831,0.3072,0.9306,0.45737285223367696
-117.829,0.299,0.9444,0.4570922107674685
-116.826,0.2905,0.9578,0.45681156930126
-115.823,0.2817,0.9708,0.45653092783505156
-114.998,0.27429428571428566,0.9810857142857143,0.4563
-114.821,0.2727,0.9833,0.45616135321100915
-113.818,0.2635,0.9954,0.45537866972477065
-112.815,0.2541,1.007,0.45459598623853215
-111.813,0.2444,1.0181,0.4538133027522936
-110.81,0.2345,1.0287,0.4530306192660551
-110.002,0.22636228571428563,1.0368377142857144,0.4524
-109.807,0.2244,1.0388,0.452166323024055
-108.805,0.2141,1.0483,0.45096357388316155
-107.802,0.2036,1.0573,0.4497608247422681
-106.799,0.193,1.0657,0.4485580756013746
-105.797,0.1821,1.0735,0.4473553264604811
-105.0,0.1734914772727273,1.0791863636363637,0.4464
-104.788,0.1712,1.0807,0.44606517754868275
-103.786,0.1601,1.0873,0.4444815578465063
-102.783,0.1488,1.0934,0.44289793814432993
-101.78,0.1375,1.0987,0.4413143184421535
-100.778,0.126,1.1035,0.43973069873997706
-99.998,0.11706285714285718,1.1066862857142856,0.4385
-99.775,0.1145,1.1076,0.4346715596330275
-98.772,0.1029,1.111,0.4174926605504587
-97.77,0.0912,1.1138,0.40031376146788983
-96.767,0.0795,1.116,0.3831348623853212
-95.764,0.0677,1.1174,0.3659559633027524
-95.002,0.05873199999999998,1.1180080000000001,0.3529
-94.761,0.0559,1.1182,0.35235635738831617
-93.759,0.0441,1.1183,0.35009117983963345
-92.756,0.0323,1.1178,0.34782600229095073
-91.753,0.0205,1.1165,0.34556082474226807
-90.751,0.0088,1.1146,0.34329564719358535
-90.0,4.171428571424565e-05,1.1137017142857142,0.3416
-89.748,-0.0029,1.1134,0.34097502863688434
-88.745,-0.0146,1.1156,0.33848934707903783
-87.743,-0.0264,1.1172,0.3360036655211913
-86.74,-0.0382,1.1181,0.3335179839633448
-85.737,-0.05,1.1184,0.33103230240549825
-84.998,-0.05869828571428573,1.1180314285714286,0.3292
-84.735,-0.0618,1.1179,0.32849839449541285
-83.732,-0.0736,1.1168,0.32582924311926603
-82.729,-0.0853,1.115,0.32316009174311927
-81.727,-0.097,1.1125,0.32049094036697245
-80.724,-0.1087,1.1094,0.3178217889908257
-80.002,-0.11705199999999993,1.1066639999999999,0.3159
-79.721,-0.1203,1.1056,0.31510297823596795
-78.719,-0.1318,1.1012,0.3122564719358534
-77.716,-0.1432,1.0961,0.30940996563573886
-76.713,-0.1545,1.0904,0.3065634593356243
-75.711,-0.1656,1.0841,0.3037169530355098
-75.0,-0.1734651428571429,1.0792108571428571,0.3017
-74.708,-0.1767,1.0772,0.3008178694158076
-73.705,-0.1876,1.0697,0.297790950744559
-72.703,-0.1983,1.0616,0.2947640320733104
-71.7,-0.2089,1.0529,0.2917371134020619
-70.697,-0.2193,1.0436,0.28871019473081333
-69.998,-0.2264108571428571,1.0367680000000001,0.2866
-69.695,-0.2295,1.0338,0.2856336009174312
-68.692,-0.2395,1.0235,0.28244266055045875
-67.689,-0.2493,1.0126,0.27925172018348626
-66.687,-0.2588,1.0013,0.2760607798165137
-65.684,-0.2682,0.9894,0.2728698394495413
-65.002,-0.27438799999999997,0.981036,0.2707
-64.681,-0.2773,0.9771,0.26962233676975944
-63.679,-0.2861,0.9643,0.2662546391752577
-62.676,-0.2948,0.9511,0.26288694158075604
-61.673,-0.3031,0.9375,0.2595192439862543
-60.671,-0.3112,0.9235,0.2561515463917526
-60.0,-0.3164148571428572,0.9138725714285714,0.2539
-59.668,-0.319,0.9091,0.2527369428211299
-58.665,-0.3266,0.8943,0.24922771857453882
-57.662,-0.3338,0.8793,0.24571849432794776
-56.66,-0.3408,0.8638,0.24220927008135673
