Alpha,Cl,Cd,Cm
-180.0,0.0,0.0149,1.0
-178.998,0.0213,0.0159,1.0
-178.001,0.0426,0.017,1.0
-176.998,0.0639,0.0188,1.0
-176.001,0.0852,0.0206,1.0
-174.998,0.1065,0.0233,1.0
-174.002,0.1278,0.0261,1.0
-172.999,0.1491,0.0306,1.0
-172.002,0.1704,0.0353,1.0
-170.999,0.1917,0.0428,1.0
-170.002,0.213,0.051,1.0
-169.0,0.2343,0.0558,1.0
-168.003,0.2556,0.0577,1.0
-167.0,0.2769,0.0678,1.0
-165.997,0.2982,0.082,1.0
-165.0,0.3195,0.1002,1.0
-163.998,0.3408,0.123,1.0
-163.001,0.3621,0.1486,1.0
-161.998,0.3834,0.1753,1.0
-161.001,0.4047,0.2063,1.0
-159.998,0.426,0.2365,1.0
-159.002,0.4473,0.3234,1.0
-157.999,0.4686,0.4349,1.0
-157.002,0.4899,0.4712,1.0
-155.999,0.5112,0.4997,1.0
-155.002,0.5325,0.5321,1.0
-154.0,0.5538,0.5644,1.0
-153.003,0.5751,0.6264,1.0
-152.0,0.5964,0.6884,1.0
-150.997,0.6177,0.7373,1.0
-150.0,0.639,0.7847,1.0
-148.998,0.6603,0.8397,1.0
-148.001,0.6816,0.8965,1.0
-146.998,0.7029,0.947,1.0
-146.001,0.7242,0.9968,1.0
-144.998,0.7455,1.0307,1.0
-144.001,0.7668,1.064,1.0
-142.999,0.7881,1.1073,1.0
-142.002,0.8094,1.1506,1.0
-140.999,0.8307,1.1858,1.0
-140.002,0.852,1.2211,1.0
-139.0,0.82818,1.229,1.0
-138.003,0.80504,1.2368,1.0
-137.0,0.78252,1.2444,1.0
-135.997,0.76055,1.2519,1.0
-135.0,0.7391,1.2591,1.0
-133.998,0.7181,1.2662,1.0
-133.001,0.69751,1.273,1.0
-131.998,0.67731,1.2795,1.0
-131.001,0.65744,1.2858,1.0
-129.998,0.63788,1.2918,1.0
-129.001,0.61861,1.2975,1.0
-127.999,0.59959,1.3028,1.0
-127.002,0.58081,1.3078,1.0
-125.999,0.56224,1.3125,1.0
-125.002,0.54387,1.3167,1.0
-124.0,0.52569,1.3205,1.0
-123.003,0.50767,1.3239,1.0
-122.0,0.48982,1.3269,1.0
-120.997,0.47211,1.3294,1.0
-120.0,0.45455,1.3315,1.0
-118.998,0.43712,1.333,1.0
-118.001,0.41982,1.3341,1.0
-116.998,0.40264,1.3346,1.0
-116.001,0.38559,1.3346,1.0
-114.998,0.36867,1.334,1.0
-114.001,0.35186,1.3329,1.0
-112.999,0.33519,1.3312,1.0
-112.002,0.31863,1.3289,1.0
-110.999,0.30221,1.326,1.0
-110.002,0.28592,1.3225,1.0
-108.999,0.26977,1.3183,1.0
-108.003,0.25376,1.3136,1.0
-107.0,0.2379,1.3082,1.0
-105.997,0.22219,1.3021,1.0
-105.0,0.20665,1.2954,1.0
-103.998,0.19129,1.288,1.0
-103.001,0.1761,1.28,1.0
-101.998,0.1611,1.2712,1.0
-101.001,0.14631,1.2618,1.0
-99.998,0.13172,1.2517,1.0
-99.001,0.11735,1.2409,1.0
-97.999,0.10322,1.2295,1.0
-97.002,0.08933,1.2173,1.0
-95.999,0.0757,1.2044,1.0
-95.002,0.06234,1.1909,1.0
-93.999,0.04925,1.1766,1.0
-93.003,0.03646,1.1617,1.0
-92.0,0.02398,1.146,1.0
-90.997,0.01182,1.1297,1.0
-90.0,0.0,1.1127,1.0
-88.998,-0.01182,1.1297,1.0
-88.001,-0.02398,1.146,1.0
-86.998,-0.03646,1.1617,1.0
-86.001,-0.04925,1.1766,1.0
-84.998,-0.06234,1.1909,1.0
-84.001,-0.0757,1.2044,1.0
-82.999,-0.08933,1.2173,1.0
-82.002,-0.10322,1.2295,1.0
-80.999,-0.11735,1.2409,1.0
-80.002,-0.13172,1.2517,1.0
-78.999,-0.14631,1.2618,1.0
-78.002,-0.1611,1.2712,1.0
-77.0,-0.1761,1.28,1.0
-76.003,-0.19129,1.288,1.0
-75.0,-0.20665,1.2954,1.0
-73.997,-0.22219,1.3021,1.0
-73.001,-0.2379,1.3082,1.0
-71.998,-0.25376,1.3136,1.0
-71.001,-0.26977,1.3183,1.0
-69.998,-0.28592,1.3225,1.0
-69.001,-0.30221,1.326,1.0
-67.999,-0.31863,1.3289,1.0
-67.002,-0.33519,1.3312,1.0
-65.999,-0.35186,1.3329,1.0
-65.002,-0.36867,1.334,1.0
-63.999,-0.38559,1.3346,1.0
-63.002,-0.40264,1.3346,1.0
-62.0,-0.41982,1.3341,1.0
-61.003,-0.43712,1.333,1.0
-60.0,-0.45455,1.3315,1.0
-58.997,-0.47211,1.3294,1.0
-58.001,-0.48982,1.3269,1.0
-56.998,-0.50767,1.3239,1.0
-56.001,-0.52569,1.3205,1.0
-54.998,-0.54387,1.3167,1.0
-54.001,-0.56224,1.3125,1.0
-52.999,-0.58081,1.3078,1.0
-52.002,-0.59959,1.3028,1.0
-50.999,-0.61861,1.2975,1.0
-50.002,-0.63788,1.2918,1.0
-48.999,-0.65744,1.2858,1.0
-48.002,-0.67731,1.2795,1.0
-47.0,-0.69751,1.273,1.0
-46.003,-0.7181,1.2662,1.0
-45.0,-0.7391,1.2591,1.0
-43.997,-0.76055,1.2519,1.0
-43.0,-0.78252,1.2444,1.0
-41.998,-0.80504,1.2368,1.0
-41.001,-0.82818,1.229,1.0
-39.998,-0.852,1.2211,1.0
-39.001,-0.83119,1.1858,1.0
-37.999,-0.81038,1.1506,1.0
-37.002,-0.78958,1.1073,1.0
-35.999,-0.76877,1.064,1.0
-35.002,-0.74796,1.0308,1.0
-33.999,-0.72715,0.9968,1.0
-33.002,-0.70634,0.947,1.0
-32.0,-0.68554,0.8965,1.0
-31.003,-0.66473,0.8397,1.0
-30.0,-0.64392,0.7847,1.0
-28.997,-0.62311,0.7373,1.0
-28.0,-0.6023,0.6884,1.0
-26.998,-0.58149,0.6264,1.0
-26.001,-0.56069,0.5644,1.0
-24.998,-0.53988,0.5321,1.0
-24.001,-0.51907,0.4997,1.0
-22.999,-0.49826,0.4713,1.0
-22.002,-0.47745,0.4349,1.0
-20.999,-0.45665,0.3234,1.0
-20.002,-0.43619,0.2824,1.0
-18.999,-0.41714,0.2664,1.0
-18.002,-0.39952,0.2507,1.0
-17.0,-0.39476,0.2381,1.0
-16.003,-0.39,0.2254,1.0
-15.0,-0.39526,0.2129,1.0
-13.997,-0.4105,0.1949,1.0
-13.0,-0.5155,0.1274,1.0
-11.998,-0.60611,0.0654,1.0
-11.001,-0.56722,0.0535,1.0
-9.998,-0.51857,0.0433,1.0
-9.001,-0.44714,0.0372,1.0
-7.998,-0.36545,0.0303,1.0
-7.002,-0.24273,0.02,1.0
-5.999,-0.12,0.0097,1.0
-5.002,0.01158,0.0105,1.0
-3.999,0.14048,0.0115,1.0
-3.002,0.24524,0.013,1.0
-2.0,0.35,0.0145,1.0
-1.003,0.46053,0.0147,1.0
0.0,0.57091,0.0149,1.0
1.003,0.68,0.0159,1.0
2.0,0.78909,0.017,1.0
3.002,0.89857,0.0188,1.0
3.999,1.0081,0.0206,1.0
5.002,1.09737,0.0233,1.0
5.999,1.18158,0.0261,1.0
7.002,1.24143,0.0306,1.0
7.998,1.29857,0.0353,1.0
9.001,1.33909,0.0428,1.0
9.998,1.37545,0.051,1.0
11.001,1.40846,0.0558,1.0
11.998,1.39308,0.0577,1.0
13.0,1.286,0.0678,1.0
13.997,1.22,0.082,1.0
15.0,1.18333,0.1002,1.0
16.003,1.153,0.123,1.0
17.0,1.132,0.1486,1.0
18.002,1.10545,0.1753,1.0
18.999,1.092,0.2063,1.0
20.002,1.07545,0.2365,1.0
20.999,1.04667,0.3234,1.0
22.002,1.01333,0.4349,1.0
22.999,1.025,0.4713,1.0
24.001,1.04238,0.4997,1.0
24.998,1.06619,0.5321,1.0
26.001,1.09,0.5644,1.0
26.998,1.16619,0.6264,1.0
28.0,1.24238,0.6884,1.0
28.997,1.27571,0.7373,1.0
30.0,1.30429,0.7847,1.0
31.003,1.34368,0.8397,1.0
32.0,1.38579,0.8965,1.0
33.002,1.408,0.947,1.0
33.999,1.428,0.9968,1.0
35.002,1.425,1.0308,1.0
35.999,1.42048,1.064,1.0
37.002,1.42524,1.1073,1.0
37.999,1.43,1.1506,1.0
39.001,1.425,1.1858,1.0
39.998,1.42,1.2211,1.0
41.001,1.3803,1.229,1.0
41.998,1.34173,1.2368,1.0
43.0,1.3042,1.2444,1.0
43.997,1.26759,1.2519,1.0
45.0,1.23183,1.2591,1.0
46.003,1.19683,1.2662,1.0
47.0,1.16252,1.273,1.0
48.002,1.12884,1.2795,1.0
48.999,1.09573,1.2858,1.0
50.002,1.06314,1.2918,1.0
50.999,1.03101,1.2975,1.0
52.002,0.99932,1.3028,1.0
52.999,0.96801,1.3078,1.0
54.001,0.93707,1.3125,1.0
54.998,0.90646,1.3167,1.0
56.001,0.87615,1.3205,1.0
56.998,0.84612,1.3239,1.0
58.001,0.81636,1.3269,1.0
58.997,0.78685,1.3294,1.0
60.0,0.75758,1.3315,1.0
61.003,0.72853,1.333,1.0
62.0,0.69969,1.3341,1.0
63.002,0.67107,1.3346,1.0
63.999,0.64265,1.3346,1.0
65.002,0.61444,1.334,1.0
65.999,0.58644,1.3329,1.0
67.002,0.55864,1.3312,1.0
67.999,0.53105,1.3289,1.0
69.001,0.50368,1.326,1.0
69.998,0.47653,1.3225,1.0
71.001,0.44961,1.3183,1.0
71.998,0.42293,1.3136,1.0
73.001,0.3965,1.3082,1.0
73.997,0.37032,1.3021,1.0
75.0,0.34442,1.2954,1.0
76.003,0.31881,1.288,1.0
77.0,0.2935,1.28,1.0
78.002,0.2685,1.2712,1.0
78.999,0.24384,1.2618,1.0
80.002,0.21953,1.2517,1.0
80.999,0.19559,1.2409,1.0
82.002,0.17204,1.2295,1.0
82.999,0.14889,1.2173,1.0
84.001,0.12617,1.2044,1.0
84.998,0.10389,1.1909,1.0
86.001,0.08209,1.1766,1.0
86.998,0.06077,1.1617,1.0
88.001,0.03997,1.146,1.0
88.998,0.01971,1.1297,1.0
90.0,0.0,1.1127,1.0
90.997,-0.01182,1.1297,1.0
92.0,-0.02398,1.146,1.0
93.003,-0.03646,1.1617,1.0
93.999,-0.04925,1.1766,1.0
95.002,-0.06234,1.1909,1.0
95.999,-0.0757,1.2044,1.0
97.002,-0.08933,1.2173,1.0
97.999,-0.10322,1.2295,1.0
99.001,-0.11735,1.2409,1.0
99.998,-0.13172,1.2517,1.0
101.001,-0.14631,1.2618,1.0
101.998,-0.1611,1.2712,1.0
103.001,-0.1761,1.28,1.0
103.998,-0.19129,1.288,1.0
105.0,-0.20665,1.2954,1.0
105.997,-0.22219,1.3021,1.0
107.0,-0.2379,1.3082,1.0
108.003,-0.25376,1.3136,1.0
